"","0","1","2","3","4","5","6","7"
"Pmp2",0.00412407735625381,0.00371962749768786,0.000714798290034915,0.00310510785531891,0,0,0.000820047578908692,0
"RP24-137C19.6",0.00799322748707396,0.00678791117442727,0.00377970813465597,0.0218932718683729,0.00271582740310774,0.00435450187870684,0.0178526819099095,0
"Fabp9",0.00128143831696091,0.0003246111044455,0,0.0119861346151934,0.00122580129466231,0.00337251672239379,0.00867708251988638,0
"Fabp4",0.00809687182691692,0.00369455157911277,0.0707188854792161,0.0657201547817574,0.0375438817904811,0.00325004620411732,0.0208062769979027,0.0653114483341401
"Fabp12",0.0940524261776484,0.302686457986388,0.141766717519944,0.376998238514432,0.06642676969237,0.203915525455546,0.159655773592104,0.0955994625456154
"Impa1",0.159693756529202,0.113734375609291,0.203385318081875,0.118046599552674,0.176746967897278,0.0640560839913397,0.155848812510814,0.22792494337573
"RP23-436F15.5",0.146784894053271,0.108831751204054,0.186418744187334,0.109004823091842,0.170573345635912,0.0610078899318627,0.139154974808197,0.220471448585569
"Slc10a5",0.00654273525824096,0.000735157377493077,0.0132638290173656,0.0100152344797205,0.00972638078685295,0.000368398132681251,0.00721561956276128,0
"Zfand1",0.282586285490241,0.191547911789599,0.30480427498676,0.216205531706736,0.284976779691797,0.188700589784596,0.251496835357913,0.527131722292109
"Chmp4c",0.0377986532567207,0.029697839317168,0.0739980183435643,0.0513999205813081,0.0551220643630057,0.00972268048186204,0.0631697912104825,0.129639135530464
"Snx16",0.164702086139621,0.119716239113822,0.220772857369293,0.141565690146911,0.19488008317285,0.0588565071791526,0.123244381312796,0.213320032587714
"Ralyl",0.0188946509548685,0.0236703869092466,0.0265870206631819,0.0376351726138611,0.020306688588161,0.0387777887462043,0.0556417300586955,0.0408721865913828
"Slc7a12",0.00438188264431052,0.00293504410694941,0.0042559739114937,0.00678733438948628,0.00437378596805112,0.00338845406987927,0.00852487228727856,0
"Lrrcc1",0.173343572105024,0.0974653776782245,0.226996040475345,0.161871380755649,0.190887244258624,0.0372366228363857,0.216113327903234,0.288324160699065
"E2f5",0.313964976386109,0.097645630483455,0.323855896140507,0.199791045375709,0.260757288368101,0.0544395024652982,0.182590682110727,0.363941413405869
"1810022K09Rik",0.272977952653678,0.224557877866018,0.331312229646094,0.280514634346956,0.388455220764706,0.290130132436634,0.326541720135816,0.365000735946815
"Car13",0.116680034009515,0.0303959974447548,0.0443184125338274,0.082452996835615,0.0627945052812832,0.00968327780047848,0.136387960916985,0.15737738509495
"Car1",0.00850862981416609,0.00452645197615971,0.00885581860173107,0.00910204748943544,0.0138033817273933,0.0123012429960701,0.161101994650699,0.0347857095248156
"Car3",0.114748790331993,0.039859888899841,0.0731721323139279,0.0615092762526988,0.135970164117113,0.0519502943085113,0.145067727211515,0.0969149159652819
"Car2",0.194468786583511,0.068208648528324,0.10368834358906,0.111057799809394,0.364592454193795,0.021213236157785,0.566687913471057,0.230760426713819
"Gm9733",0.0247106404310657,0.29999831472948,0.0166449670530274,0.199951745842232,0.0195572127220394,0.407795535599999,0.0590200327736394,0.024467411750438
"Sirpb1a",0.00999440836673085,0.0749785719773441,0.0137895829058968,0.16234992007513,0.0119413354854811,0.167409061485633,0.0559662511366933,0.0196411382988779
"Sirpb1b",0.0166250183546687,0.0943335210998607,0.0211698485631396,0.245127347185888,0.0389085539786688,0.451523801629973,0.0631203847539309,0.0117237662005464
"Sirpb1c",0.00624216116398827,0.0287103985833432,0.011178179716229,0.166723922083932,0.0157076198964096,0.176346872707402,0.0403413286087352,0.00965324187579372
"Gm5150",0.0184966468007701,0.129224312223012,0.020570570523488,0.271285979734798,0.029314119263628,0.560356315741743,0.0930715306846383,0.0252316874685981
"Ythdf3",0.326082886488813,0.358424249027511,0.352200276980779,0.430983252688279,0.383732584112901,0.500047667990089,0.290677685325067,0.450010700885155
"Cypt12",0,0,0,0.00209755891001966,0,0,0,0
"Bhlhe22",0.00188909366536102,0.0248973910938686,0.00263715199870741,0.0169749606434639,0.0139499761443335,0.0172091523978825,0.0170855408372293,0.00401787150069716
"Cyp7b1",0.0269962003664386,0.0630673473137542,0.0329865983415018,0.159427926671268,0.0491280631281143,0.108255403868593,0.0871691874947291,0.054096366876802
